SEVERITYBC,SURVEY_YR,ORG_UNIT_N,PERIMETER,AREA,ACRES,HOST1,OBJECTID,FS_REGION,DCA1,SURVEY_ID1,DMG_TYPE1,DMG_CODF,PCT_AFF_CO,NOTES,FID,SITE_ID,SITE_NO,TPA1,TPA2,TPA3,DCA2,DCA3,SEVERITY1,SEVERITY2,SEVERITY3,SURVEY_ID2,SURVEY_ID3,DMG_TYPE2,DMG_TYPE3,PATTERN1,PATTERN2,PATTERN3,NO_TREES1,NO_TREES2,NO_TREES3,HOST2,HOST3,FOR_TYPE1,FOR_TYPE2,FOR_TYPE3,PCT_MORT1,PCT_MORT2,PCT_MORT3,ACRES_DMG,DMG_TYP_CO,SeverityWe,Severity_F,SWA_Defoli,MidPoint,layer,path,MISSOULA,area2,Feature_ID,shep_ID,n,dist_neare,feature_x,feature_y,nearest_x,nearest_y,area3,shepID+yr,shep_ID_2,shepID+yr2,ID,ID_year,area4,hCID,NA_L3CODE,CID_M7,CID_M8,CID_M10,CID_M13,CID_M16,HOST1_2
,"2013",,3502.743208239937758,456580.342931172868703,112.700,"202","216754","3","12123","20133000450","1",Defoliation,"-1",,"115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3R%_premerge,C:/Users/Koval/Documents/Dwyer_Lab/4mapping/defoliation/std_shps/R3R%_premerge.shp,"0","456617","2647","53","1",174192.322952781629283,-1071519.620655427919701,-1042898.335192227037624,-1005736.509296438540332,-1204191.694124381989241,456580.295,"532013","53","532013","30","302013",71981.327,"3",6.2.12,"2","2","2","12","12","15"
,"2013",,3502.743208239937758,456580.342931172868703,112.700,"202","216754","3","12123","20133000450","1",Defoliation,"-1",,"115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3R%_premerge,C:/Users/Koval/Documents/Dwyer_Lab/4mapping/defoliation/std_shps/R3R%_premerge.shp,"0","456617","2647","53","1",174192.322952781629283,-1071519.620655427919701,-1042898.335192227037624,-1005736.509296438540332,-1204191.694124381989241,456580.295,"532013","53","532013","31","312013",24173.368,"3",6.2.12,"2","2","2","12","12","15"
,"2013",,3502.743208239937758,456580.342931172868703,112.700,"202","216754","3","12123","20133000450","1",Defoliation,"-1",,"115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3R%_premerge,C:/Users/Koval/Documents/Dwyer_Lab/4mapping/defoliation/std_shps/R3R%_premerge.shp,"0","456617","2647","53","1",174192.322952781629283,-1071519.620655427919701,-1042898.335192227037624,-1005736.509296438540332,-1204191.694124381989241,456580.295,"532013","53","532013","32","322013",62593.093,"3",6.2.12,"2","2","2","12","12","15"
,"2013",,3502.743208239937758,456580.342931172868703,112.700,"202","216754","3","12123","20133000450","1",Defoliation,"-1",,"115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3R%_premerge,C:/Users/Koval/Documents/Dwyer_Lab/4mapping/defoliation/std_shps/R3R%_premerge.shp,"0","456617","2647","53","1",174192.322952781629283,-1071519.620655427919701,-1042898.335192227037624,-1005736.509296438540332,-1204191.694124381989241,456580.295,"532013","53","532013","33","332013",701246.884,"3",6.2.12,"2","2","2","12","12","15"
,"2013",,3502.743208239937758,456580.342931172868703,112.700,"202","216754","3","12123","20133000450","1",Defoliation,"-1",,"115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3R%_premerge,C:/Users/Koval/Documents/Dwyer_Lab/4mapping/defoliation/std_shps/R3R%_premerge.shp,"0","456617","2647","53","1",174192.322952781629283,-1071519.620655427919701,-1042898.335192227037624,-1005736.509296438540332,-1204191.694124381989241,456580.295,"532013","53","532013","34","342013",799610.612,"3",6.2.12,"2","2","2","12","12","15"
,"2013",,3502.743208239937758,456580.342931172868703,112.700,"202","216754","3","12123","20133000450","1",Defoliation,"-1",,"115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3R%_premerge,C:/Users/Koval/Documents/Dwyer_Lab/4mapping/defoliation/std_shps/R3R%_premerge.shp,"0","456617","2647","53","1",174192.322952781629283,-1071519.620655427919701,-1042898.335192227037624,-1005736.509296438540332,-1204191.694124381989241,456580.295,"532013","53","532013","35","352013",1080927.192,"3",6.2.12,"2","2","2","12","12","15"
,"2013",,3502.743208239937758,456580.342931172868703,112.700,"202","216754","3","12123","20133000450","1",Defoliation,"-1",,"115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3R%_premerge,C:/Users/Koval/Documents/Dwyer_Lab/4mapping/defoliation/std_shps/R3R%_premerge.shp,"0","456617","2647","53","1",174192.322952781629283,-1071519.620655427919701,-1042898.335192227037624,-1005736.509296438540332,-1204191.694124381989241,456580.295,"532013","53","532013","36","362013",3304209.989,"3",6.2.12,"2","2","2","12","12","15"
,"2013",,3502.743208239937758,456580.342931172868703,112.700,"202","216754","3","12123","20133000450","1",Defoliation,"-1",,"115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3R%_premerge,C:/Users/Koval/Documents/Dwyer_Lab/4mapping/defoliation/std_shps/R3R%_premerge.shp,"0","456617","2647","53","1",174192.322952781629283,-1071519.620655427919701,-1042898.335192227037624,-1005736.509296438540332,-1204191.694124381989241,456580.295,"532013","53","532013","37","372013",2855685.374,"3",6.2.12,"2","2","2","12","12","15"
,"2013",,3502.743208239937758,456580.342931172868703,112.700,"202","216754","3","12123","20133000450","1",Defoliation,"-1",,"115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3R%_premerge,C:/Users/Koval/Documents/Dwyer_Lab/4mapping/defoliation/std_shps/R3R%_premerge.shp,"0","456617","2647","53","1",174192.322952781629283,-1071519.620655427919701,-1042898.335192227037624,-1005736.509296438540332,-1204191.694124381989241,456580.295,"532013","53","532013","38","382013",551066.161,"3",6.2.12,"2","2","2","12","12","15"
,"2013",,3502.743208239937758,456580.342931172868703,112.700,"202","216754","3","12123","20133000450","1",Defoliation,"-1",,"115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3R%_premerge,C:/Users/Koval/Documents/Dwyer_Lab/4mapping/defoliation/std_shps/R3R%_premerge.shp,"0","456617","2647","53","1",174192.322952781629283,-1071519.620655427919701,-1042898.335192227037624,-1005736.509296438540332,-1204191.694124381989241,456580.295,"532013","53","532013","39","392013",360565.634,"3",6.2.12,"2","2","2","12","12","15"
,"2013",,3502.743208239937758,456580.342931172868703,112.700,"202","216754","3","12123","20133000450","1",Defoliation,"-1",,"115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3R%_premerge,C:/Users/Koval/Documents/Dwyer_Lab/4mapping/defoliation/std_shps/R3R%_premerge.shp,"0","456617","2647","53","1",174192.322952781629283,-1071519.620655427919701,-1042898.335192227037624,-1005736.509296438540332,-1204191.694124381989241,456580.295,"532013","53","532013","40","402013",1700890.905,"3",6.2.12,"2","2","2","12","12","15"
,"2013",,3502.743208239937758,456580.342931172868703,112.700,"202","216754","3","12123","20133000450","1",Defoliation,"-1",,"115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3R%_premerge,C:/Users/Koval/Documents/Dwyer_Lab/4mapping/defoliation/std_shps/R3R%_premerge.shp,"0","456617","2647","53","1",174192.322952781629283,-1071519.620655427919701,-1042898.335192227037624,-1005736.509296438540332,-1204191.694124381989241,456580.295,"532013","53","532013","41","412013",4117669.240,"3",6.2.12,"2","2","2","12","12","15"
,"2013",,3502.743208239937758,456580.342931172868703,112.700,"202","216754","3","12123","20133000450","1",Defoliation,"-1",,"115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3R%_premerge,C:/Users/Koval/Documents/Dwyer_Lab/4mapping/defoliation/std_shps/R3R%_premerge.shp,"0","456617","2647","53","1",174192.322952781629283,-1071519.620655427919701,-1042898.335192227037624,-1005736.509296438540332,-1204191.694124381989241,456580.295,"532013","53","532013","42","422013",6390294.427,"3",6.2.12,"2","2","2","12","12","15"
,"2013",,3502.743208239937758,456580.342931172868703,112.700,"202","216754","3","12123","20133000450","1",Defoliation,"-1",,"115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3R%_premerge,C:/Users/Koval/Documents/Dwyer_Lab/4mapping/defoliation/std_shps/R3R%_premerge.shp,"0","456617","2647","53","1",174192.322952781629283,-1071519.620655427919701,-1042898.335192227037624,-1005736.509296438540332,-1204191.694124381989241,456580.295,"532013","53","532013","42","422013",6390294.427,"3",6.2.12,"2","2","2","12","12","15"
